category,country,ean
Dairy,PL,20062057
Dairy,PL,20146252
Dairy,PL,20820282
Dairy,PL,20820299
Dairy,PL,20857912
Dairy,PL,20857929
Dairy,PL,4025500253905
Dairy,PL,4040600995418
Dairy,PL,5900001421611
Dairy,PL,5900120004559
Dairy,PL,5900120005624
Dairy,PL,5900120010970
Dairy,PL,5900120011885
Dairy,PL,5900120022157
Dairy,PL,5900120022553
Dairy,PL,5900120022577
Dairy,PL,5900120022942
Dairy,PL,5900120023185
Dairy,PL,5900120023246
Dairy,PL,5900120064355
Dairy,PL,5900120064935
Dairy,PL,5900120072138
Dairy,PL,5900120072183
Dairy,PL,5900120072879
Dairy,PL,5900197006487
Dairy,PL,5900197011955
Dairy,PL,5900197025631
Dairy,PL,5900486017071
Dairy,PL,5900512110219
Dairy,PL,5900512110226
Dairy,PL,5900512110271
Dairy,PL,5900512110325
Dairy,PL,5900512110394
Dairy,PL,5900512110646
Dairy,PL,5900512130408
Dairy,PL,5900512131252
Dairy,PL,5900512300542
Dairy,PL,5900512320434
Dairy,PL,5900512320625
Dairy,PL,5900512501642
Dairy,PL,5900512501680
Dairy,PL,5900512700038
Dairy,PL,5900512700090
Dairy,PL,5900512850016
Dairy,PL,5900512850290
Dairy,PL,5900512850375
Dairy,PL,5900512902401
Dairy,PL,5900512980867
Dairy,PL,5900512981178
Dairy,PL,5900512982175
Dairy,PL,5900512982335
Dairy,PL,5900512982502
Dairy,PL,5900512983424
Dairy,PL,5900512983677
Dairy,PL,5900512984513
Dairy,PL,5900512986210
Dairy,PL,5900512987125
Dairy,PL,5900512987132
Dairy,PL,5900512987538
Dairy,PL,5900512988009
Dairy,PL,5900512988016
Dairy,PL,5900512988986
Dairy,PL,5900512990453
Dairy,PL,5900512990552
Dairy,PL,5900512999593
Dairy,PL,5900512999609
Dairy,PL,5900512999616
Dairy,PL,5900512999821
Dairy,PL,5900512999845
Dairy,PL,5900531000522
Dairy,PL,5900531000539
Dairy,PL,5900531000546
Dairy,PL,5900531000607
Dairy,PL,5900531000713
Dairy,PL,5900531000843
Dairy,PL,5900531001024
Dairy,PL,5900531001079
Dairy,PL,5900531009655
Dairy,PL,5900531009808
Dairy,PL,5900531105036
Dairy,PL,5900643051122
Dairy,PL,5900691031091
Dairy,PL,5900691031138
Dairy,PL,5900691031664
Dairy,PL,5900691032159
Dairy,PL,5900691032197
Dairy,PL,5900771000726
Dairy,PL,5900820000028
Dairy,PL,5900820000158
Dairy,PL,5900820000219
Dairy,PL,5900820000455
Dairy,PL,5900820000554
Dairy,PL,5900820001506
Dairy,PL,5900820002510
Dairy,PL,5900820002527
Dairy,PL,5900820003678
Dairy,PL,5900820005504
Dairy,PL,5900820005528
Dairy,PL,5900820005726
Dairy,PL,5900820005733
Dairy,PL,5900820008055
Dairy,PL,5900820008062
Dairy,PL,5900820008079
Dairy,PL,5900820010218
Dairy,PL,5900820011505
Dairy,PL,5900820011512
Dairy,PL,5900820011536
Dairy,PL,5900820016258
Dairy,PL,5900820019105
Dairy,PL,5900820020606
Dairy,PL,5900820021023
Dairy,PL,5900820021085
Dairy,PL,5900820021894
Dairy,PL,5900820021962
Dairy,PL,5900820022013
Dairy,PL,5900820022303
Dairy,PL,5900820024413
Dairy,PL,5900857007694
Dairy,PL,5900857008998
Dairy,PL,5900857009018
Dairy,PL,5900857009070
Dairy,PL,5900857013336
Dairy,PL,5901005000239
Dairy,PL,5901005000406
Dairy,PL,5901005003650
Dairy,PL,5901005007269
Dairy,PL,5901005007276
Dairy,PL,5901005007382
Dairy,PL,5901126010858
Dairy,PL,5901390002672
Dairy,PL,5901390005628
Dairy,PL,5901432000819
Dairy,PL,5901750000409
Dairy,PL,5901753000376
Dairy,PL,5901753000529
Dairy,PL,5901753000642
Dairy,PL,5901939000794
Dairy,PL,5901939002002
Dairy,PL,5901939002019
Dairy,PL,5901939004198
Dairy,PL,5901939020013
Dairy,PL,5902057000482
Dairy,PL,5902057001748
Dairy,PL,5902057005128
Dairy,PL,5902057005623
Dairy,PL,5902061000164
Dairy,PL,5902061000171
Dairy,PL,5902170005517
Dairy,PL,5902208000842
Dairy,PL,5902208001252
Dairy,PL,5902431274881
Dairy,PL,5902476001046
Dairy,PL,5902476010505
Dairy,PL,5902495000037
Dairy,PL,5902495001362
Dairy,PL,5902899101637
Dairy,PL,5902899121321
Dairy,PL,5902899127187
Dairy,PL,5902899139661
Dairy,PL,5902899139746
Dairy,PL,5902899140728
Dairy,PL,5902899140742
Dairy,PL,5902899141701
Dairy,PL,5902899142241
Dairy,PL,5902899143873
Dairy,PL,5902899146089
Dairy,PL,5902899147147
Dairy,PL,5902901004055
Dairy,PL,5903240806911
Dairy,PL,5903240806935
Dairy,PL,5904215132028
Dairy,PL,5904215139928
Dairy,PL,5904215144519
Dairy,PL,5904215156710
Dairy,PL,5904215176626
Dairy,PL,5904215176961
Dairy,PL,5904215179351
Dairy,PL,5904716011181
Dairy,PL,5904716013277
Dairy,PL,5904903001162
Dairy,PL,5906040063294
Dairy,PL,5906040064079
Dairy,PL,5906207050068
Dairy,PL,5906207476844
Dairy,PL,5906207478251
Dairy,PL,5906207510074
Dairy,PL,5907070001188
Dairy,PL,5907588101288
Dairy,PL,5907627471532
Dairy,PL,5907809284165
Dairy,PL,5907809284172
Dairy,PL,5907809284295
Dairy,PL,5907809285957
Dairy,PL,5907809285964
Dairy,PL,5908312380603
Dairy,PL,8585002595171
Dairy,PL,8594032990634
Dairy,PL,8595588202899
Dairy,PL,8595588204091
Frozen & Prepared,DE,1204835920000
Frozen & Prepared,DE,17104388
Frozen & Prepared,DE,20001575
Frozen & Prepared,DE,20006792
Frozen & Prepared,DE,20046453
Frozen & Prepared,DE,20068172
Frozen & Prepared,DE,20174552
Frozen & Prepared,DE,20249243
Frozen & Prepared,DE,20294564
Frozen & Prepared,DE,20316655
Frozen & Prepared,DE,20537791
Frozen & Prepared,DE,3415581101010
Frozen & Prepared,DE,3415581114713
Frozen & Prepared,DE,4001724038658
Frozen & Prepared,DE,4001724049913
Frozen & Prepared,DE,4001724049920
Frozen & Prepared,DE,4003880105533
Frozen & Prepared,DE,4006181006509
Frozen & Prepared,DE,4006934778622
Frozen & Prepared,DE,4008210184806
Frozen & Prepared,DE,4008210184851
Frozen & Prepared,DE,4008211002932
Frozen & Prepared,DE,4008211004349
Frozen & Prepared,DE,4008211005124
Frozen & Prepared,DE,4008366008629
Frozen & Prepared,DE,4008366009749
Frozen & Prepared,DE,4008366010387
Frozen & Prepared,DE,4008366011964
Frozen & Prepared,DE,4008366883448
Frozen & Prepared,DE,4009233004515
Frozen & Prepared,DE,4009233014347
Frozen & Prepared,DE,4009233014446
Frozen & Prepared,DE,4012481511391
Frozen & Prepared,DE,4014500510439
Frozen & Prepared,DE,4026913121706
Frozen & Prepared,DE,4032549000759
Frozen & Prepared,DE,4032549002067
Frozen & Prepared,DE,4032549039216
Frozen & Prepared,DE,4032549048645
Frozen & Prepared,DE,4044564510007
Frozen & Prepared,DE,4044564754203
Frozen & Prepared,DE,4056489135975
Frozen & Prepared,DE,4056489147206
Frozen & Prepared,DE,4056489181538
Frozen & Prepared,DE,4056489223368
Frozen & Prepared,DE,4056489375135
Frozen & Prepared,DE,4056489657149
Frozen & Prepared,DE,4056489657156
Frozen & Prepared,DE,4056489840152
Frozen & Prepared,DE,4056489988625
Frozen & Prepared,DE,4061458017374
Frozen & Prepared,DE,4061458030007
Frozen & Prepared,DE,4061458030274
Frozen & Prepared,DE,4061458030663
Frozen & Prepared,DE,4061458030908
Frozen & Prepared,DE,4061458034807
Frozen & Prepared,DE,4061458041812
Frozen & Prepared,DE,4061458041942
Frozen & Prepared,DE,4061458042123
Frozen & Prepared,DE,4061458042192
Frozen & Prepared,DE,4061458102681
Frozen & Prepared,DE,4061458102698
Frozen & Prepared,DE,4061458128407
Frozen & Prepared,DE,4061459044935
Frozen & Prepared,DE,4061459163780
